"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0899429277649","42.5478825098027","42.2589338777052","49.9703570876326","52.2835515029774","55.2336096860208","65.22719651975","72.1961316506209","75.6560213212883","82.129514173935","81.667667622342","83.16602847553","84.1390742481655","84.5887863002273","89.4705990944345","91.0522132970634","94.1551331331061","91.4790798813851","91.4583252776964","94.4207416493724","106.545368632667","108.424789263555","111.132845136196","","",
"Afghanistan","AFG","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.765303405005749","6.25584773821653","5.19898422197045","5.63401378639453","5.54858916113801","6.34529780198177","8.41118728502781","8.29353260309731","8.11692521695131","8.23242740317186","6.72591357953549","8.9427483962044","10.0093475248217","11.1320137554094","12.1230921564261","13.4634898549287","11.6390169608849","10.7521785198503","24.7929527797707","11.9148441944976","3.01118236270637","","",
"Africa Western and Central","AFW","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.5814965062203","18.9987276018501","15.9973973248118","23.0766373187454","29.0653266277581","31.2128895020626","28.495731463388","27.134384248164","26.3399655620559","27.8137700626068","25.6763610455846","27.4058485525796","29.0316262229091","28.9675113796154","27.880523276861","30.8335257370842","28.2095502117221","31.114360884076","29.9935542239197","33.7075373345778","40.6679032687905","41.8186319166842","46.2305803572416","","",
"Angola","AGO","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.9050502731836","70.0408228821865","50.0423037147295","56.8391178379405","71.8910752641597","62.3487432618006","78.0380958994865","104.955159618856","142.199878518045","168.98050106626","110.59204267822","114.980730083158","115.569796716593","129.48504209581","106.946925381338","89.6838844159768","84.0710058201575","93.1412413919496","77.7001692559053","78.5560576321046","112.770928907555","118.269637554963","111.931831351086","","",
"Albania","ALB","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104.195692000732","115.112078323669","119.746486345515","130.166257824516","149.566680782768","154.300387580505","169.86027746341","196.714599783391","186.409036225563","205.46551331714","227.772141529733","244.251104029238","257.585834072623","271.321960503392","290.55141340259","313.742981978034","345.436966392921","351.29867771997","384.276271530745","423.564122776146","426.545722767847","471.191341792657","536.065922154986","","",
"Andorra","AND","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255.47314340652","1356.44056861332","1528.08795436729","1424.9552011091","1351.72432046312","1547.44699129396","1385.74153022918","1428.61290543047","1717.08792944445","1835.70705944613","2547.61560169009","2610.50141990466","2218.6686270937","2292.61030442166","2435.58215295064","2648.12147306517","2605.98205642788","2675.0270968786","2856.65654978005","2918.11906404039","3369.64505152801","3644.99340898431","3773.52317020112","4011.87603597269","",
"Arab World","ARB","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","233.971275947755","261.460400348763","258.278888238542","249.296981307497","257.835065807554","254.553185800191","272.32527294235","291.420975989774","290.597129069789","376.797950356563","338.03956854339","357.383424038053","377.73743879901","390.187995684504","428.111678578643","416.89071474064","435.141976607758","424.427115209297","405.412814456412","422.939564204613","489.036040904126","473.696853392271","435.964854858342","","",
"United Arab Emirates","ARE","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1485.71594262184","1699.35796670758","1446.94278540521","1476.45314260211","1363.40573208889","1313.09011743274","1398.98932792312","1491.54666610507","1740.47316042388","2486.87214265538","2197.5630722161","2235.67654848546","2093.69223615509","2137.25901507855","2121.92376523057","1769.54969940263","2037.74941351713","1535.8578253637","1514.66278924993","1656.07020998852","2495.10872892103","2514.12354874095","2258.91532810259","","",
"Argentina","ARG","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","578.393004240229","570.753198301965","448.845348281532","461.08463555954","453.678310314379","526.871017447669","596.502902291219","700.036448619211","778.735959679241","917.486769028371","993.673990788336","1085.38753012152","1192.72354542436","1241.11439231551","1235.18863897883","1361.16484990745","1299.57696349113","1547.80895231732","1399.75663059438","1414.12767869803","1396.34262797584","1478.54843940197","1555.15515958307","","",
"Armenia","ARM","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.895462970096","39.6579382133624","40.2731869983967","48.4608001015499","59.3072856150341","80.019587083371","100.733519187511","120.29300390963","121.452587003775","128.453385657188","124.270072182291","132.108889034612","145.849597477807","134.153020621785","150.585331679993","160.773154077365","176.308023421943","167.982832941294","163.073215028312","204.640514126783","322.631939002368","333.616824502234","313.991690744333","","",
"American Samoa","ASM","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","465.572481892575","527.079338116574","513.739091456176","594.623896215362","567.408987352689","576.072144743879","583.963431156301","601.866861057183","564.691978645899","529.967925763162","667.057140285295","652.069416855145","626.336981262146","603.512138524365","689.705300547012","624.72704791845","598.693169659781","573.030779887615","669.67356481268","621.333669149667","727.568854823209","699.852383295597","824.309920203419","","",
"Australia","AUS","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1536.19321426535","1605.60960512292","1736.63391418067","1812.07601795591","1959.91942103247","2029.87925920804","2154.20020090672","2316.55223167148","2380.6443043808","2588.89227037529","2595.73046776995","2762.28003898594","2697.62529233959","2817.55566260564","3265.68962866559","3396.74659954016","3577.4514906327","3637.24805277868","3794.00175961541","4021.72993724645","4453.61256408379","5030.09088341368","5243.44901414158","","",
"Austria","AUT","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2007.74938362523","2033.65863041407","2156.01066385811","2250.51600407981","2371.44841409063","2456.83297076852","2619.57814946544","2740.95265254406","2969.80513560311","3051.01608789161","3112.35944462294","3246.04432880334","3461.92853928308","3569.0847130131","3685.7080062727","3771.06171342209","3962.90480486745","4163.49810668572","4397.32899421199","4768.58850922979","5106.30829899468","6036.18994760441","6177.65442303226","","",
"Azerbaijan","AZE","Domestic general government health expenditure per capita, PPP (current international $)","SH.XPD.GHED.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.8622967526025","29.8448205016749","30.1714178841263","35.1916742323162","43.4993558544739","58.6031185775736","78.1285294488964","103.76554419915","109.959456232111","156.644293692973","147.260866045933","139.379759957261","176.512161338475","181.588088900218","195.176393532618","192.918524336639","165.610710900004","140.213562142675","128.0217932891","159.598168953691","334.547159267347","233.712480834752","211.926012760264","","",
