"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.010952","50.87960052","75.23449707","76.42555237","71.58870697","62.93592072","61.17357254","58.22918701","71.43701172","73.63291931","77.62413025","78.41966248","78.58730316","82.8755722","82.48136902","81.62987518","80.6469574","84.34803009","84.27638245","84.79430389","77.84781647","78.65647888","79.0908432","","",
"American Samoa","ASM","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.22428131","22.74691391","22.74011803","23.21788979","24.31144524","27.07497978","30.31648445","32.52657318","31.90914726","25.27703667","24.68379784","25.77301407","26.8955822","26.76339149","25.34367752","23.53068924","27.5195961","26.5686245","23.66021156","24.26510048","21.96622849","21.55276871","24.80779076","","",
"Australia","AUS","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.99713898","20.43909836","19.92001152","19.14758873","19.21869659","19.64301491","19.74941826","19.00255966","19.04162598","19.05284309","19.74928665","19.17248344","19.93433952","19.52692413","17.84736443","17.20188141","16.94656944","16.60431862","16.22962379","14.70659161","14.88613701","13.83726788","15.2829895","","",
"Austria","AUT","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.82221985","18.46295738","18.61328697","18.88836861","19.30190468","19.18325996","18.80627823","18.80613899","18.24393272","18.05128479","18.60162735","18.73956299","18.67409134","19.1712513","19.09817505","19.09111214","19.24335289","19.15275955","18.42534828","17.91519737","16.47193336","15.73479843","15.99057865","16.13623428","",
"Azerbaijan","AZE","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.00448608","69.62220764","72.33946991","69.0607605","65.92002106","59.33625793","56.28426743","52.6079216","56.54062271","57.89490891","60.27914047","62.14058304","62.97990417","66.2504425","67.54847717","69.12871552","70.02903748","71.84921265","73.38605499","71.34140778","57.828125","66.0317688","64.46770477","","",
"Burundi","BDI","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1387825","45.43356323","49.84329987","50.25006485","38.59356308","39.18720245","39.72788239","41.13088989","42.89714813","35.45698547","28.18636131","25.47524261","22.40234756","20.86187553","31.00106621","31.20963097","28.36751747","28.99659729","27.11566162","22.21640587","20.45733452","24.5846138","24.51572418","","",
"Belgium","BEL","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.20431137","19.56598473","20.84733772","20.74399567","19.93850136","20.00785255","20.20729828","20.56515503","19.90612221","19.6732502","19.72496033","19.59739113","19.44441032","19.7401123","19.53039551","19.01653671","18.45969009","18.38533974","18.48899078","19.74298286","17.18937492","18.77902412","20.04573441","","",
"Benin","BEN","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.91024399","49.05539703","51.76609039","51.67531586","48.58201981","46.5252533","45.66500092","48.27828979","44.00003433","42.59873962","43.51421356","44.51008987","41.52767944","42.5843277","46.49401474","51.40564728","48.86447906","50.78124237","45.57242584","50.89290237","46.80970383","48.63362122","42.49658966","","",
"Burkina Faso","BFA","Out-of-pocket expenditure (% of current health expenditure)","SH.XPD.OOPC.CH.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.16007996","42.72938538","38.27582932","33.38692856","30.43884087","30.71225548","30.85259819","27.39347267","30.95701027","31.44069099","30.16873169","32.88170242","32.38356781","33.53733063","34.07847595","36.02980042","31.38309479","31.67767906","35.83074951","34.69356155","34.64081192","34.64732361","34.61856079","","",
